,PolicyNo,Policy_Company,Policy_Installment_Term,Policy_Billing_Code,Policy_Method_Of_Payment,Policy_Reinstatement_Fee_Indicator,Policy_Zip_Code_Garaging_Location,Vehicle_Territory,Vehicle_Make_Year,Vehicle_Make_Description,Vehicle_Performance,Vehicle_New_Cost_Amount,Vehicle_Symbol,Vehicle_Number_Of_Drivers_Assigned,Vehicle_Usage,Vehicle_Miles_To_Work,Vehicle_Days_Per_Week_Driven,Vehicle_Annual_Miles,Vehicle_Anti_Theft_Device,Vehicle_Passive_Restraint,Vehicle_Age_In_Years,Vehicle_Med_Pay_Limit,Vehicle_Bodily_Injury_Limit,Vehicle_Physical_Damage_Limit,Vehicle_Comprehensive_Coverage_Indicator,Vehicle_Comprehensive_Coverage_Limit,Vehicle_Collision_Coverage_Indicator,Vehicle_Collision_Coverage_Deductible,Driver_Total,Driver_Total_Male,Driver_Total_Female,Driver_Total_Single,Driver_Total_Married,Driver_Total_Related_To_Insured_Self,Driver_Total_Related_To_Insured_Spouse,Driver_Total_Related_To_Insured_Child,Driver_Total_Licensed_In_State,Driver_Minimum_Age,Driver_Maximum_Age,Driver_Total_Teenager_Age_15_19,Driver_Total_College_Ages_20_23,Driver_Total_Young_Adult_Ages_24_29,Driver_Total_Low_Middle_Adult_Ages_30_39,Driver_Total_Middle_Adult_Ages_40_49,Driver_Total_Adult_Ages_50_64,Driver_Total_Senior_Ages_65_69,Driver_Total_Upper_Senior_Ages_70_plus,Vehicle_Youthful_Driver_Indicator,Vehicle_Youthful_Driver_Training_Code,Vehicle_Youthful_Good_Student_Code,Vehicle_Driver_Points,Vehicle_Safe_Driver_Discount_Indicator,EEA_Liability_Coverage_Only_Indicator,EEA_Multi_Auto_Policies_Indicator,EEA_Policy_Zip_Code_3,EEA_Policy_Tenure,EEA_Agency_Type,EEA_Packaged_Policy_Indicator,EEA_Full_Coverage_Indicator,EEA_Prior_Bodily_Injury_Limit,EEA_PolicyYear,SYS_Renewed,SYS_New_Business,Annual_Premium,Claim_Count,Loss_Amount,Frequency,Severity,Loss_Ratio
15222,368446202,Standard ,6,Direct Billed to Insured,Pre-paid,N,42857,35,1991,CHEV PICKUP1500  ,Standard,-1,7,1,Pleasure,-1,5,Unknown,Not Applicable,N,9,10000,100-300,100000,N,-1,N,-1,1,0,1,0,0,1,0,0,1,47,47,0,0,0,0,1,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,N,N,Y,428,1.0,Standard,N,N,100-200,2006,Y,N,177.02,1,54.5,2.0,54.5,0.31
5034,300536714,Standard ,6,Direct Billed to Insured,Installment,N,44139,31,2004,FORD F-150 SUPE  ,Standard,-1,11,99,Work    ,5,5,Unknown,Passive Disabling-Vehicle Recovery,Y,4,1000,100-300,100000,N,-1,Y,500,2,1,1,0,2,1,1,0,2,28,28,0,0,2,0,0,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,441,6.5,Preferred,Y,Y,100-200,2006,Y,N,421.88,1,4506.75,2.0,4506.75,10.68
10283,345081005,Standard ,6,Direct Billed to Insured,Pre-paid,N,43423,31,2004,CHEV SILVERADO   ,Standard,-1,13,1,Pleasure,-1,5,Unknown,Active Disabling,Y,3,1000,250-500,100000,N,-1,Y,250,2,1,1,0,2,1,1,0,2,57,61,0,0,0,0,0,2,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,434,2.5,Preferred,Y,Y,100-400,2006,Y,N,502.44,1,519.15,2.0,519.15,1.03
8345,332232406,Standard ,6,Direct Billed to Insured,Pre-paid,N,42978,30,2005,CHRY TOWN & COU  ,Standard,-1,8,1,Farm    ,-1,5,Unknown,Active Disabling,Y,2,1000,100-300,50000,N,-1,Y,500,1,0,1,0,1,0,1,0,1,66,66,0,0,0,0,0,0,1,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,429,3.0,Hybrid,Y,Y,100-200,2006,Y,N,319.06,1,54.5,2.0,54.5,0.17
4667,296112813,Standard ,6,Direct Billed to Insured,Installment,N,42413,32,1999,HOND ODYSSEY EX  ,Standard,-1,10,1,Work    ,12,5,Unknown,Not Applicable,Y,8,-1,100-300,100000,N,-1,Y,500,1,0,1,0,0,1,0,0,1,44,44,0,0,0,0,1,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,N,424,6.5,Non-standard,N,Y,100-200,2006,Y,N,424.0,1,2509.92,2.0,2509.92,5.92
14479,365411302,Standard ,6,Direct Billed to Insured,Pre-paid,N,43368,31,2000,CHEV SILVER1500  ,Standard,-1,12,1,Pleasure,-1,5,Unknown,Passive Disabling-Vehicle Recovery,Y,7,5000,50-100 ,35000,N,-1,Y,500,1,1,0,0,1,1,0,0,1,64,64,0,0,0,0,0,1,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,N,N,Y,433,1.0,Hybrid,Y,Y,40-100 ,2006,Y,N,362.52,1,1997.17,2.0,1997.17,5.51
2715,256857036,Standard ,6,Direct Billed to Insured,Pre-paid,N,43092,35,2002,HOND CR-V LX     ,Standard,-1,10,1,Pleasure,-1,5,Unknown,Passive Disabling-Vehicle Recovery,Y,6,-1,50-100 ,50000,N,-1,Y,500,1,0,1,0,1,1,0,0,1,43,43,0,0,0,0,1,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,430,18.0,Hybrid,Y,Y,40-100 ,2006,Y,N,339.2,1,6574.34,2.0,6574.34,19.38
13085,359848102,Standard ,6,Direct Billed to Insured,Pre-paid,N,43433,26,1996,ACUR 3.5RL PREM  ,Standard,25000,22,1,Work    ,6,5,Unknown,Passive Disabling-Vehicle Recovery,Y,9,5000,25-50  ,25000,N,-1,Y,500,1,0,1,0,1,1,0,0,1,30,30,0,0,0,1,0,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,N,N,Y,434,1.0,Hybrid,Y,Y,20-50,2006,Y,N,571.34,1,220.35,2.0,220.35,0.39
18618,380028000,Standard ,12,Premium Finance,Pre-paid,N,42459,35,1989,CHEV PICKUP1500  ,Standard,-1,11,99,Work    ,8,5,Unknown,Not Applicable,N,9,-1,100-300,100000,N,-1,N,-1,1,1,0,0,1,0,1,0,1,39,39,0,0,0,1,0,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,N,N,Y,424,0.0,Preferred,N,N,100-200,2006,Y,Y,342.38,1,2915.16,1.0253255408592228,2915.16,8.51
16857,373516901,Standard ,6,Direct Billed to Insured,Installment,N,42585,31,1996,FORD RANGER      ,Standard,-1,6,99,Work    ,14,5,Unknown,Not Applicable,Y,9,5000,50-100 ,50000,N,-1,N,-1,1,1,0,0,0,1,0,0,1,40,40,0,0,0,0,1,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,N,N,Y,425,0.5,Non-standard,N,N,40-100 ,2006,Y,N,173.84,1,184.32,2.0,184.32,1.06
503,185858640,Standard ,6,Direct Billed to Insured,Installment,N,43022,30,2005,DODG DURANGO SL  ,Standard,-1,16,1,Pleasure,-1,5,Unknown,Passive Disabling-Vehicle Recovery,Y,2,1000,100-300,50000,N,-1,Y,250,1,0,1,0,1,0,1,0,1,50,50,0,0,0,0,0,1,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,2,N,N,Y,430,32.3,Preferred,Y,Y,100-200,2006,Y,N,716.56,1,337.54,2.0,337.54,0.47
8474,333189408,Standard ,6,Direct Billed to Insured,Installment,N,43052,27,2003,KIA  SDNA LX-EX  ,Standard,-1,15,1,Pleasure,-1,5,Unknown,Not Applicable,Y,4,1000,25-50  ,25000,N,-1,Y,500,1,0,1,0,0,1,0,0,1,65,65,0,0,0,0,0,0,1,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,430,3.5,Hybrid,Y,Y,20-50,2006,Y,N,443.08,1,3303.43,2.0,3303.43,7.46
2152,235556921,Standard ,6,Direct Billed to Insured,Installment,Y,42756,31,1995,NSSN PKP-XE-SE   ,Standard,-1,10,1,Pleasure,-1,5,Unknown,Not Applicable,N,9,1000,25-50  ,25000,N,-1,Y,500,1,1,0,1,0,1,0,0,1,28,28,0,0,1,0,0,0,0,0,Y,With or Without Driver Training,Not Eligible for Good Student Credit,0,Y,N,Y,427,9.8,Standard,Y,Y,20-50,2006,Y,N,291.5,1,2069.02,2.0,2069.02,7.1
14270,364739801,Standard ,6,Direct Billed to Insured,Pre-paid,N,42913,35,2004,CHEV SILVERADO   ,Standard,-1,15,1,Pleasure,-1,5,Unknown,Passive Disabling-Vehicle Recovery,Y,3,25000,50-100 ,50000,N,-1,Y,500,2,1,1,0,2,1,1,0,2,54,56,0,0,0,0,0,2,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,429,0.5,Preferred,Y,Y,40-100 ,2006,Y,N,455.8,1,2837.55,2.0,2837.55,6.23
4493,293208415,Standard ,6,Direct Billed to Insured,Installment,Y,42855,35,1995,GMC  JIMMY       ,Standard,-1,15,1,Work    ,4,5,Unknown,Passive Disabling-Vehicle Recovery,Y,9,1000,50-100 ,35000,N,-1,Y,500,1,0,1,0,1,0,1,0,1,30,30,0,0,0,1,0,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,428,7.3,Preferred,N,Y,40-100 ,2006,Y,N,358.28,1,15245.03,2.0,15245.03,42.55
4898,299000114,Preferred,6,Direct Billed to Insured,Installment,N,42359,35,1993,NSSN SENTRA      ,Standard,-1,12,1,Pleasure,-1,5,Unknown,Not Applicable,Y,9,-1,50-100 ,35000,N,-1,N,-1,1,1,0,0,0,1,0,0,1,58,58,0,0,0,0,0,1,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,Y,Y,423,7.0,Hybrid,N,N,40-100 ,2006,Y,N,163.24,1,1525.55,2.0,1525.55,9.35
2404,244311640,Standard ,6,Direct Billed to Insured,Pre-paid,N,Unknown,35,1986,CHEV K10         ,Standard,-1,10,1,Work    ,10,5,Unknown,Not Applicable,N,9,5000,100-300,50000,N,-1,N,-1,1,1,0,0,1,1,0,0,1,75,75,0,0,0,0,0,0,0,1,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,Unknown,20.0,Standard,Y,N,100-200,2006,Y,N,185.5,1,54.5,2.0,54.5,0.29
11135,350002605,Standard ,6,Direct Billed to Insured,Installment,Y,42875,30,1999,FORD RANGER      ,Standard,-1,15,99,Work    ,2,5,Unknown,Not Applicable,Y,8,-1,25-50  ,25000,N,-1,Y,500,1,1,0,0,0,1,0,0,1,48,48,0,0,0,0,1,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,N,N,Y,428,2.3,Hybrid,N,Y,20-50,2006,Y,N,425.06,1,1805.21,2.0,1805.21,4.25
10049,343641705,Standard ,6,Direct Billed to Insured,Installment,N,43986,31,1997,GMC  SAFARI      ,Standard,-1,7,1,Pleasure,-1,5,Unknown,Not Applicable,Y,9,5000,25-50  ,25000,N,-1,Y,250,1,1,0,0,1,1,0,0,1,58,58,0,0,0,0,0,1,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,1,N,N,Y,439,2.5,Hybrid,Y,Y,20-50,2006,Y,N,360.4,1,18415.2,2.0,18415.2,51.1
671,191675636,Standard ,6,Direct Billed to Insured,Installment,Y,43080,35,2005,FORD F-150 SUPE  ,Standard,-1,15,99,Work    ,3,5,Unknown,Passive Disabling-Vehicle Recovery,Y,3,1000,25-50  ,25000,N,-1,Y,500,2,1,1,0,2,1,1,0,2,37,38,0,0,0,2,0,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,430,14.0,Standard,Y,Y,20-50,2006,Y,N,526.82,1,11200.35,2.0,11200.35,21.26
2272,239625941,Standard ,6,Direct Billed to Insured,Installment,Y,43073,27,1998,BUIK PARK AVE    ,Standard,-1,11,99,Pleasure,-1,5,Unknown,Not Applicable,Y,9,1000,100-300,100000,N,-1,N,-1,2,1,1,0,2,1,1,0,2,35,42,0,0,0,1,1,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,430,20.6,Hybrid,Y,N,100-200,2006,Y,N,248.04,1,1071.01,2.0,1071.01,4.32
4574,294654416,Standard ,6,Direct Billed to Insured,Pre-paid,N,42656,13,1995,MITS GALANTESLS  ,Standard,-1,13,1,Work    ,18,5,Unknown,Not Applicable,Y,9,1000,50-100 ,35000,N,-1,N,-1,1,1,0,0,0,1,0,0,1,75,75,0,0,0,0,0,0,0,1,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,N,426,7.6,Hybrid,N,N,40-100 ,2006,Y,N,233.2,1,1146.51,2.0,1146.51,4.92
1800,225163021,Standard ,6,Direct Billed to Insured,Installment,N,42976,30,2005,PONT SUNFIRE     ,Standard,-1,19,1,Work    ,20,5,Unknown,Passive Disabling-Vehicle Recovery,Y,2,1000,25-50  ,25000,N,-1,Y,500,1,0,1,0,1,1,0,0,1,49,49,0,0,0,0,1,0,0,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,429,10.5,Non-standard,Y,Y,20-50,2006,Y,N,532.12,1,7615.14,2.0,7615.14,14.31
4863,298475614,Standard ,6,Direct Billed to Insured,Installment,Y,43416,18,2000,CHEV S10 PICKUP  ,Standard,0,13,1,Work    ,3,5,Unknown,Not Applicable,Y,7,1000,25-50  ,25000,N,-1,Y,500,2,1,1,0,2,1,1,0,2,65,68,0,0,0,0,0,0,2,0,N,Not Applicable                 ,Not Eligible for Good Student Credit,0,Y,N,Y,434,6.3,Preferred,Y,Y,20-50,2006,Y,N,375.24,1,3052.0,2.0,3052.0,8.13
